Account,Wave,Priority,Function,Target Title Cluster,Named Seed,Sales Nav Query,LinkedIn People Query,Google X-Ray Query,Keywords / Filters,Source Signal,Owner,Status,Notes
Diageo,Wave 1 - Must-book,P3,Transformation,Director customer operations / S&OP,Marsha McIntosh-Hamilton,"""Diageo"" AND (""Director customer operations / S&OP"" OR ""Director customer operations"")",Diageo Director customer operations / S&OP MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Diageo"" ""Director customer operations""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Diageo,Wave 1 - Must-book,P3,Site leader,Site operations leader,Marsha McIntosh-Hamilton,"""Diageo"" AND (""Site operations leader"" OR ""Site operations leader"")",Diageo Site operations leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Diageo"" ""Site operations leader""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Hormel Foods,Wave 1 - Must-book,P1,Exec owner,CSCO,Will Bonifant,"""Hormel"" AND (""CSCO"" OR ""CSCO"")",Hormel CSCO MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Hormel"" ""CSCO""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; leadership transition in March 2026,Jake,Not started,
Hormel Foods,Wave 1 - Must-book,P1,Supply Chain,VP Logistics / Transportation,Will Bonifant,"""Hormel"" AND (""VP Logistics / Transportation"" OR ""VP Logistics"")",Hormel VP Logistics / Transportation MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Hormel"" ""VP Logistics""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; leadership transition in March 2026,Jake,Not started,
Hormel Foods,Wave 1 - Must-book,P2,Logistics,VP Operations / Manufacturing,Will Bonifant,"""Hormel"" AND (""VP Operations / Manufacturing"" OR ""VP Operations"")",Hormel VP Operations / Manufacturing MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Hormel"" ""VP Operations""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; leadership transition in March 2026,Jake,Not started,
Hormel Foods,Wave 1 - Must-book,P2,Operations,VP Distribution,Will Bonifant,"""Hormel"" AND (""VP Distribution"" OR ""VP Distribution"")",Hormel VP Distribution MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Hormel"" ""VP Distribution""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; leadership transition in March 2026,Jake,Not started,
Hormel Foods,Wave 1 - Must-book,P3,Transformation,Director network operations,Will Bonifant,"""Hormel"" AND (""Director network operations"" OR ""Director network operations"")",Hormel Director network operations MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Hormel"" ""Director network operations""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; leadership transition in March 2026,Jake,Not started,
Hormel Foods,Wave 1 - Must-book,P3,Site leader,Continuous improvement / transformation leader,Will Bonifant,"""Hormel"" AND (""Continuous improvement / transformation leader"" OR ""Continuous improvement"")",Hormel Continuous improvement / transformation leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Hormel"" ""Continuous improvement""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; leadership transition in March 2026,Jake,Not started,
JM Smucker,Wave 1 - Must-book,P1,Exec owner,Chief Product Supply Officer,Rob Ferguson,"""The J.M. Smucker Company"" AND (""Chief Product Supply Officer"" OR ""Chief Product Supply Officer"")",The J.M. Smucker Company Chief Product Supply Officer MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""The J.M. Smucker Company"" ""Chief Product Supply Officer""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; new chief product supply role in Feb 2026,Jake,Not started,
JM Smucker,Wave 1 - Must-book,P1,Supply Chain,VP Logistics / Transportation,Rob Ferguson,"""The J.M. Smucker Company"" AND (""VP Logistics / Transportation"" OR ""VP Logistics"")",The J.M. Smucker Company VP Logistics / Transportation MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""The J.M. Smucker Company"" ""VP Logistics""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; new chief product supply role in Feb 2026,Jake,Not started,
JM Smucker,Wave 1 - Must-book,P2,Logistics,VP Manufacturing,Rob Ferguson,"""The J.M. Smucker Company"" AND (""VP Manufacturing"" OR ""VP Manufacturing"")",The J.M. Smucker Company VP Manufacturing MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""The J.M. Smucker Company"" ""VP Manufacturing""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; new chief product supply role in Feb 2026,Jake,Not started,
JM Smucker,Wave 1 - Must-book,P2,Operations,VP Distribution,Rob Ferguson,"""The J.M. Smucker Company"" AND (""VP Distribution"" OR ""VP Distribution"")",The J.M. Smucker Company VP Distribution MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""The J.M. Smucker Company"" ""VP Distribution""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; new chief product supply role in Feb 2026,Jake,Not started,
JM Smucker,Wave 1 - Must-book,P3,Transformation,Director site operations,Rob Ferguson,"""The J.M. Smucker Company"" AND (""Director site operations"" OR ""Director site operations"")",The J.M. Smucker Company Director site operations MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""The J.M. Smucker Company"" ""Director site operations""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; new chief product supply role in Feb 2026,Jake,Not started,
JM Smucker,Wave 1 - Must-book,P3,Site leader,Transformation / supply chain excellence,Rob Ferguson,"""The J.M. Smucker Company"" AND (""Transformation / supply chain excellence"" OR ""Transformation"")",The J.M. Smucker Company Transformation / supply chain excellence MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""The J.M. Smucker Company"" ""Transformation""",Food & Beverage; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list; new chief product supply role in Feb 2026,Jake,Not started,
The Home Depot,Wave 1 - Must-book,P1,Exec owner,EVP Supply Chain / Inventory,John Deaton / John Drake / Amit Kalra,"""The Home Depot"" AND (""EVP Supply Chain / Inventory"" OR ""EVP Supply Chain"")",The Home Depot EVP Supply Chain / Inventory MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""The Home Depot"" ""EVP Supply Chain""",Retail; Past attendee + keynote; MODEX; Atlanta; operations; logistics,Past attendee list + official keynote presence,Jake,Not started,
The Home Depot,Wave 1 - Must-book,P1,Supply Chain,SVP Transportation,John Deaton / John Drake / Amit Kalra,"""The Home Depot"" AND (""SVP Transportation"" OR ""SVP Transportation"")",The Home Depot SVP Transportation MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""The Home Depot"" ""SVP Transportation""",Retail; Past attendee + keynote; MODEX; Atlanta; operations; logistics,Past attendee list + official keynote presence,Jake,Not started,
The Home Depot,Wave 1 - Must-book,P2,Logistics,VP Distribution / Fulfillment,John Deaton / John Drake / Amit Kalra,"""The Home Depot"" AND (""VP Distribution / Fulfillment"" OR ""VP Distribution"")",The Home Depot VP Distribution / Fulfillment MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""The Home Depot"" ""VP Distribution""",Retail; Past attendee + keynote; MODEX; Atlanta; operations; logistics,Past attendee list + official keynote presence,Jake,Not started,
The Home Depot,Wave 1 - Must-book,P2,Operations,VP Supply Chain Strategy,John Deaton / John Drake / Amit Kalra,"""The Home Depot"" AND (""VP Supply Chain Strategy"" OR ""VP Supply Chain Strategy"")",The Home Depot VP Supply Chain Strategy MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""The Home Depot"" ""VP Supply Chain Strategy""",Retail; Past attendee + keynote; MODEX; Atlanta; operations; logistics,Past attendee list + official keynote presence,Jake,Not started,
The Home Depot,Wave 1 - Must-book,P3,Transformation,Director network operations,John Deaton / John Drake / Amit Kalra,"""The Home Depot"" AND (""Director network operations"" OR ""Director network operations"")",The Home Depot Director network operations MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""The Home Depot"" ""Director network operations""",Retail; Past attendee + keynote; MODEX; Atlanta; operations; logistics,Past attendee list + official keynote presence,Jake,Not started,
The Home Depot,Wave 1 - Must-book,P3,Site leader,Innovation / interconnected retail leader,John Deaton / John Drake / Amit Kalra,"""The Home Depot"" AND (""Innovation / interconnected retail leader"" OR ""Innovation"")",The Home Depot Innovation / interconnected retail leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""The Home Depot"" ""Innovation""",Retail; Past attendee + keynote; MODEX; Atlanta; operations; logistics,Past attendee list + official keynote presence,Jake,Not started,
Georgia Pacific,Wave 2 - High-value,P1,Exec owner,VP Supply Chain,Ryan Hutcherson / Jeremy Finley,"""Georgia-Pacific"" AND (""VP Supply Chain"" OR ""VP Supply Chain"")",Georgia-Pacific VP Supply Chain MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Georgia-Pacific"" ""VP Supply Chain""",Industrial; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Georgia Pacific,Wave 2 - High-value,P1,Supply Chain,VP Logistics / Transportation,Ryan Hutcherson / Jeremy Finley,"""Georgia-Pacific"" AND (""VP Logistics / Transportation"" OR ""VP Logistics"")",Georgia-Pacific VP Logistics / Transportation MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Georgia-Pacific"" ""VP Logistics""",Industrial; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Georgia Pacific,Wave 2 - High-value,P2,Logistics,VP Manufacturing / Operations,Ryan Hutcherson / Jeremy Finley,"""Georgia-Pacific"" AND (""VP Manufacturing / Operations"" OR ""VP Manufacturing"")",Georgia-Pacific VP Manufacturing / Operations MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Georgia-Pacific"" ""VP Manufacturing""",Industrial; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Georgia Pacific,Wave 2 - High-value,P2,Operations,Director plant logistics,Ryan Hutcherson / Jeremy Finley,"""Georgia-Pacific"" AND (""Director plant logistics"" OR ""Director plant logistics"")",Georgia-Pacific Director plant logistics MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Georgia-Pacific"" ""Director plant logistics""",Industrial; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Georgia Pacific,Wave 2 - High-value,P3,Transformation,Director network operations,Ryan Hutcherson / Jeremy Finley,"""Georgia-Pacific"" AND (""Director network operations"" OR ""Director network operations"")",Georgia-Pacific Director network operations MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Georgia-Pacific"" ""Director network operations""",Industrial; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Georgia Pacific,Wave 2 - High-value,P3,Site leader,Continuous improvement leader,Ryan Hutcherson / Jeremy Finley,"""Georgia-Pacific"" AND (""Continuous improvement leader"" OR ""Continuous improvement leader"")",Georgia-Pacific Continuous improvement leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Georgia-Pacific"" ""Continuous improvement leader""",Industrial; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
H-E-B,Wave 2 - High-value,P1,Exec owner,VP Logistics,Troy Retzloff / Craig Stucker,"""H-E-B"" AND (""VP Logistics"" OR ""VP Logistics"")",H-E-B VP Logistics MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""H-E-B"" ""VP Logistics""",Retail; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
H-E-B,Wave 2 - High-value,P1,Supply Chain,VP Transportation,Troy Retzloff / Craig Stucker,"""H-E-B"" AND (""VP Transportation"" OR ""VP Transportation"")",H-E-B VP Transportation MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""H-E-B"" ""VP Transportation""",Retail; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
H-E-B,Wave 2 - High-value,P2,Logistics,VP Distribution / Warehousing,Troy Retzloff / Craig Stucker,"""H-E-B"" AND (""VP Distribution / Warehousing"" OR ""VP Distribution"")",H-E-B VP Distribution / Warehousing MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""H-E-B"" ""VP Distribution""",Retail; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
H-E-B,Wave 2 - High-value,P2,Operations,Director network operations,Troy Retzloff / Craig Stucker,"""H-E-B"" AND (""Director network operations"" OR ""Director network operations"")",H-E-B Director network operations MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""H-E-B"" ""Director network operations""",Retail; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
H-E-B,Wave 2 - High-value,P3,Transformation,Director campus / yard operations,Troy Retzloff / Craig Stucker,"""H-E-B"" AND (""Director campus / yard operations"" OR ""Director campus"")",H-E-B Director campus / yard operations MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""H-E-B"" ""Director campus""",Retail; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
H-E-B,Wave 2 - High-value,P3,Site leader,Process improvement leader,Troy Retzloff / Craig Stucker,"""H-E-B"" AND (""Process improvement leader"" OR ""Process improvement leader"")",H-E-B Process improvement leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""H-E-B"" ""Process improvement leader""",Retail; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Hyundai Motor America,Wave 2 - High-value,P1,Exec owner,VP Logistics,Carey Gammon / Yongchul Chung,"""Hyundai"" AND (""VP Logistics"" OR ""VP Logistics"")",Hyundai VP Logistics MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Hyundai"" ""VP Logistics""",Manufacturing; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Hyundai Motor America,Wave 2 - High-value,P1,Supply Chain,VP Supply Chain,Carey Gammon / Yongchul Chung,"""Hyundai"" AND (""VP Supply Chain"" OR ""VP Supply Chain"")",Hyundai VP Supply Chain MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Hyundai"" ""VP Supply Chain""",Manufacturing; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Hyundai Motor America,Wave 2 - High-value,P2,Logistics,Director finished vehicle logistics,Carey Gammon / Yongchul Chung,"""Hyundai"" AND (""Director finished vehicle logistics"" OR ""Director finished vehicle logistics"")",Hyundai Director finished vehicle logistics MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Hyundai"" ""Director finished vehicle logistics""",Manufacturing; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Hyundai Motor America,Wave 2 - High-value,P2,Operations,Director transportation,Carey Gammon / Yongchul Chung,"""Hyundai"" AND (""Director transportation"" OR ""Director transportation"")",Hyundai Director transportation MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Hyundai"" ""Director transportation""",Manufacturing; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Hyundai Motor America,Wave 2 - High-value,P3,Transformation,Yard / port operations leader,Carey Gammon / Yongchul Chung,"""Hyundai"" AND (""Yard / port operations leader"" OR ""Yard"")",Hyundai Yard / port operations leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Hyundai"" ""Yard""",Manufacturing; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Hyundai Motor America,Wave 2 - High-value,P3,Site leader,Transformation leader,Carey Gammon / Yongchul Chung,"""Hyundai"" AND (""Transformation leader"" OR ""Transformation leader"")",Hyundai Transformation leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Hyundai"" ""Transformation leader""",Manufacturing; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Honda,Wave 2 - High-value,P1,Exec owner,VP Supply Chain,Jim Small / Nicole Miller / Brian Beard,"""Honda"" AND (""VP Supply Chain"" OR ""VP Supply Chain"")",Honda VP Supply Chain MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Honda"" ""VP Supply Chain""",Manufacturing; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Honda,Wave 2 - High-value,P1,Supply Chain,VP Logistics,Jim Small / Nicole Miller / Brian Beard,"""Honda"" AND (""VP Logistics"" OR ""VP Logistics"")",Honda VP Logistics MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Honda"" ""VP Logistics""",Manufacturing; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Honda,Wave 2 - High-value,P2,Logistics,Director plant logistics,Jim Small / Nicole Miller / Brian Beard,"""Honda"" AND (""Director plant logistics"" OR ""Director plant logistics"")",Honda Director plant logistics MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Honda"" ""Director plant logistics""",Manufacturing; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Honda,Wave 2 - High-value,P2,Operations,Director transportation,Jim Small / Nicole Miller / Brian Beard,"""Honda"" AND (""Director transportation"" OR ""Director transportation"")",Honda Director transportation MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Honda"" ""Director transportation""",Manufacturing; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Honda,Wave 2 - High-value,P3,Transformation,Site operations leader,Jim Small / Nicole Miller / Brian Beard,"""Honda"" AND (""Site operations leader"" OR ""Site operations leader"")",Honda Site operations leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Honda"" ""Site operations leader""",Manufacturing; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
Honda,Wave 2 - High-value,P3,Site leader,Transformation leader,Jim Small / Nicole Miller / Brian Beard,"""Honda"" AND (""Transformation leader"" OR ""Transformation leader"")",Honda Transformation leader MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""Honda"" ""Transformation leader""",Manufacturing; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
John Deere,Wave 2 - High-value,P1,Exec owner,President / enterprise supply management,Cory Reed,"""John Deere"" AND (""President / enterprise supply management"" OR ""President"")",John Deere President / enterprise supply management MODEX 2026 OR supply chain OR logistics,"site:linkedin.com/in ""John Deere"" ""President""",Manufacturing; Past attendee list; MODEX; Atlanta; operations; logistics,Past attendee list,Jake,Not started,
