Rank,Account,Parent / Brand,Vertical,Signal Type,Why Now,Primo Angle,Best Intro Path,Source,Source URL 1,Source URL 2,ICP Fit (1-5),MODEX Signal (1-5),Primo Story Fit (1-5),Warm Intro (1-5),Strategic Value (1-5),Meeting Ease (1-5),Priority Score,Priority Band,Tier,Owner,Research Status,Outreach Status,Meeting Status,Current Motion,Next Action,Due Date,Last Updated,Persona Coverage,P1 Count,Named Personas,Open Activities,Notes
10,Honda,Honda,Manufacturing,Past attendee list,Public MODEX signal plus likely fit for multi-site execution standardization.,Large manufacturing campuses and logistics complexity make yard execution a real operational lever.,Automotive logistics network research,Brief + hunt,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,,4,4,3,1,4,2,#VALUE!,C,Tier 3,Casey,Not started,Not started,No meeting,Account scoring complete,Identify target persona(s),,,5,3,5,0,Operationally attractive manufacturing account.
10,John Deere,John Deere,Manufacturing,Past attendee list,Public MODEX signal plus likely fit for multi-site execution standardization.,Complex industrial campuses and dealer/service expectations make standardization relevant.,Ag / industrial ops network research,Brief + hunt,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,,4,4,3,1,4,2,#VALUE!,C,Tier 3,Casey,Not started,Not started,No meeting,Account scoring complete,Identify target persona(s),,,5,2,5,0,Strong strategic logo; worth cross-vertical test.
13,Kenco Logistics Services,Kenco,3PL / Logistics,Named speaker,Named session speaker indicates event involvement.,"Less direct logo hunt, more partnership / ecosystem / referral opportunity.",Kristi Montgomery public session presence,2 sources,https://mx2026.mapyourshow.com/8_0/sessions/session-details.cfm?scheduleid=218,https://mx2026.mapyourshow.com/8_0/sessions/speaker-details.cfm?speakerid=154,3,5,2,1,4,4,#VALUE!,C,Tier 3,Casey,Not started,Not started,No meeting,Account scoring complete,Identify target persona(s),,,5,2,5,0,Useful ecosystem and referral play even if not first logo chase.
13,Barnes & Noble,Barnes & Noble,Retail,Named speaker,Named session speaker indicates event involvement.,Named speaker gives strong attendance signal; retail replenishment pain can map well to yard flow.,Annette Danek-Akey public session presence,2 sources,https://mx2026.mapyourshow.com/8_0/sessions/session-details.cfm?scheduleid=218,https://mx2026.mapyourshow.com/8_0/sessions/speaker-details.cfm?speakerid=153,3,5,2,1,3,3,#VALUE!,C,Tier 3,Casey,Not started,Not started,No meeting,Account scoring complete,Identify target persona(s),,,5,2,5,0,Annette Danek-Akey is an official MODEX speaker.
13,FedEx,FedEx,3PL / Logistics,Past attendee list,Public MODEX signal plus likely fit for multi-site execution standardization.,"Useful strategic logo, but more complex sell. Treat as opportunistic unless a warm path appears.",Broad network research,Brief + hunt,https://www.modexshow.com/downloads/mx26_attendeeListInsert.pdf,,3,4,2,1,4,2,#VALUE!,C,Tier 3,Casey,Not started,Not started,No meeting,Account scoring complete,Identify target persona(s),,,5,2,5,0,Late-wave but credible enterprise conversation.
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
,,,,,,,,Official list,,,,,,,,,,,,,,,,,,,,,0,0,,
