Account,Priority,Persona,Title,Lane,Role,Best Angle,Intro Path,Source Type,Confidence,Source URL,Audit URL,Owner,Status,Next Step
Hormel Foods,P1,Nicholas Schwartz,Supply Chain Planning COE & Strategy Lead,Routing / Unknown,Routing contact,Use Primo to show that standard work in the yard can compound with broader supply-chain transformation.,LinkedIn / Sales Nav,Public LinkedIn profile,Medium,https://www.linkedin.com/in/nicholas-schwartz-657a5a153,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Hormel%20Foods,Jake / Casey,Open,
Hormel Foods,P2,Connor McKenney,Senior Production Leader,Routing / Unknown,Routing contact,Use Primo to show that standard work in the yard can compound with broader supply-chain transformation.,LinkedIn / Sales Nav,Public LinkedIn profile,Medium,https://www.linkedin.com/in/connor-mckenney,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Hormel%20Foods,Jake / Casey,Open,
JM Smucker,P1,Rob Ferguson,"Chief Product Supply Officer | Executive Vice President, Coffee, Pet, and Away From Home",Executive,Exec sponsor / budget owner,Frame YardFlow as a way to reduce site-by-site operational variance across distribution and manufacturing flows.,Direct outreach to product supply office,Official leadership page,High,https://www.jmsmucker.com/about/leadership/chief-product-supply-officer-bio,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=JM%20Smucker,Jake / Casey,Open,
JM Smucker,P1,Anbu Kuppusamy,Transportation Function Leader,Routing / Unknown,Routing contact,Frame YardFlow as a way to reduce site-by-site operational variance across distribution and manufacturing flows.,LinkedIn / Sales Nav,Public LinkedIn profile,Medium,https://www.linkedin.com/in/anbukupp,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=JM%20Smucker,Jake / Casey,Open,
JM Smucker,P2,Amadeo Wei,"Senior Director, Global Supply Chain & Procurement",Functional Buyer,Functional buyer / rollout owner,Frame YardFlow as a way to reduce site-by-site operational variance across distribution and manufacturing flows.,LinkedIn / Sales Nav,Public LinkedIn profile,Medium,https://www.linkedin.com/in/amadeo-wei-aa936b354,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=JM%20Smucker,Jake / Casey,Open,
The Home Depot,P1,John Deaton,Executive Vice President – Supply Chain & Product Development,Executive,Exec sponsor / budget owner,Position YardFlow as site-level flow standardization for high-volume campuses where transport handoffs and trailer orchestration matter.,Executive outreach,Official Home Depot leadership page,High,https://corporate.homedepot.com/page/home-depot-leadership-0,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=The%20Home%20Depot,Jake / Casey,Open,
The Home Depot,P1,Amit Kalra,Senior Vice President – Supply Chain,Executive,Exec sponsor / budget owner,Position YardFlow as site-level flow standardization for high-volume campuses where transport handoffs and trailer orchestration matter.,Executive outreach,Official Home Depot leadership page,High,https://corporate.homedepot.com/bio/amit-kalra-senior-vice-president-supply-chain,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=The%20Home%20Depot,Jake / Casey,Open,
The Home Depot,P1,John Drake,Senior Vice President – Supply Chain,Executive,Exec sponsor / budget owner,Position YardFlow as site-level flow standardization for high-volume campuses where transport handoffs and trailer orchestration matter.,Executive outreach,Official Home Depot leadership page,High,https://corporate.homedepot.com/bio/john-drake-senior-vice-president-supply-chain,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=The%20Home%20Depot,Jake / Casey,Open,
Georgia Pacific,P1,Jeremy Finley,"Vice President, Supply Chain",Executive,Exec sponsor / budget owner,"Lead with yard, gate, trailer visibility, and dock-flow standardization.",LinkedIn / Sales Nav,Public LinkedIn profile,Medium,https://www.linkedin.com/in/jeremy-finley-975464b,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Georgia%20Pacific,Jake / Casey,Open,
Georgia Pacific,P1,Ryan Hutcherson,"Senior Vice President, Supply Chain",Executive,Exec sponsor / budget owner,"Lead with yard, gate, trailer visibility, and dock-flow standardization.",LinkedIn / Sales Nav,Public LinkedIn profile,Medium,https://www.linkedin.com/in/ryan-hutcherson-87302b64,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Georgia%20Pacific,Jake / Casey,Open,
Georgia Pacific,P2,John Pratt,Export Logistics Manager,Operator,Operational evaluator / routing contact,"Lead with yard, gate, trailer visibility, and dock-flow standardization.",LinkedIn / Sales Nav,Public LinkedIn profile,Medium,https://www.linkedin.com/in/johnhpratt,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Georgia%20Pacific,Jake / Casey,Open,
H-E-B,P1,Dakota Socha,Transportation & Reverse Logistics,Operator,Routing contact,Use Primo to position YardFlow as the connective tissue between network growth and site-level execution.,LinkedIn / Sales Nav,Public LinkedIn profile,Medium,https://www.linkedin.com/in/dakota-socha-9635ba61,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=H-E-B,Jake / Casey,Open,
H-E-B,P1,Craig Stucker,"Director, Parkway Transport at H-E-B",Functional Buyer,Functional buyer / rollout owner,Use Primo to position YardFlow as the connective tissue between network growth and site-level execution.,LinkedIn / Sales Nav,Public LinkedIn profile,Medium,https://www.linkedin.com/in/craigstucker,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=H-E-B,Jake / Casey,Open,
H-E-B,P1,Troy Retzloff,Senior Director of Distribution,Functional Buyer,Functional buyer / rollout owner,Use Primo to position YardFlow as the connective tissue between network growth and site-level execution.,LinkedIn / Sales Nav,Public LinkedIn profile,Medium,https://www.linkedin.com/in/troy-retzloff-a527a247,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=H-E-B,Jake / Casey,Open,
Hyundai Motor America,P1,Carey Gammon,"Director, Vehicle Operations (HMA)",Functional Buyer,Functional buyer / rollout owner,Position YardFlow as a practical site execution layer that complements bigger network-localization moves.,LinkedIn / Sales Nav,Public LinkedIn profile,Medium,https://www.linkedin.com/in/carey-gammon-07116933,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Hyundai%20Motor%20America,Jake / Casey,Open,
Hyundai Motor America,P1,Yongchul Chung,"Senior Manager, Global Logistics & Supply Chain",Operator,Operational evaluator / routing contact,Position YardFlow as a practical site execution layer that complements bigger network-localization moves.,LinkedIn / Sales Nav,Public LinkedIn profile,Medium,https://www.linkedin.com/in/yongchulchung,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Hyundai%20Motor%20America,Jake / Casey,Open,
Hyundai Motor America,P2,Ashley Eckel,Operations-focused logistics professional,Operator,Operational evaluator / routing contact,Position YardFlow as a practical site execution layer that complements bigger network-localization moves.,LinkedIn / Sales Nav,Public LinkedIn profile,Medium,https://www.linkedin.com/in/ashleynpeckel92932123,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Hyundai%20Motor%20America,Jake / Casey,Open,
Hyundai Motor America,P1,Carey Gammon,"Director, Vehicle Operations (HMA)",Exec / operator,Decision-maker,Position YardFlow as a practical site execution layer that complements bigger network-localization moves.,OEM / vehicle ops route,Public profile,Medium,https://www.linkedin.com/in/careygammon,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Hyundai%20Motor%20America,Jake / Casey,Open,
Hyundai Motor America,P2,Yongchul Chung,"Senior Manager, Global Logistics & Supply Chain",Operator,Operator buyer,Position YardFlow as a practical site execution layer that complements bigger network-localization moves.,Global logistics route,Public profile,Medium,https://www.linkedin.com/in/yongchul-chung,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Hyundai%20Motor%20America,Jake / Casey,Open,
Hyundai Motor America,P2,Daniela Garcia,Logistics / supply chain leader,Operator,Routing contact,Position YardFlow as a practical site execution layer that complements bigger network-localization moves.,Public LinkedIn route,Public profile,Low,https://www.linkedin.com,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Hyundai%20Motor%20America,Jake / Casey,Open,
Honda,P1,Jim Small,"Executive Vice President, Manufacturing",Exec sponsor,Decision-maker,"Talk standard-driver-journey, trailer orchestration, and site-to-site discipline.",Manufacturing route,Public profile,Medium,https://global.honda/en/management/,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Honda,Jake / Casey,Open,
Honda,P2,Nicole Miller,Logistics leader,Operator,Operator buyer,"Talk standard-driver-journey, trailer orchestration, and site-to-site discipline.",Public LinkedIn route,Public profile,Low,https://www.linkedin.com,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Honda,Jake / Casey,Open,
Honda,P2,Brian Beard,Supply chain / logistics leader,Operator,Routing contact,"Talk standard-driver-journey, trailer orchestration, and site-to-site discipline.",Public LinkedIn route,Public profile,Low,https://www.linkedin.com,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Honda,Jake / Casey,Open,
John Deere,P1,Cory Reed,"President, Worldwide Agriculture & Turf, Production & Precision Ag, Customer Success",Exec sponsor,Decision-maker,Frame around industrial-campus standardization and throughput visibility.,Corporate leadership path,Official company page,Medium,https://www.deere.com/en/our-company-and-purpose/leadership/,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=John%20Deere,Jake / Casey,Open,
John Deere,P2,Steve Wilhelmi,"Vice President, Logistics",Exec / budget,Operator buyer,Frame around industrial-campus standardization and throughput visibility.,Logistics route,Public profile,Medium,https://www.linkedin.com,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=John%20Deere,Jake / Casey,Open,
John Deere,P2,Matt Culbertson,Factory / site logistics leader,Operator,Routing contact,Frame around industrial-campus standardization and throughput visibility.,Site operations route,Public profile,Low,https://www.linkedin.com,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=John%20Deere,Jake / Casey,Open,
Kenco Logistics Services,P1,Kristi Montgomery,"Vice President, Innovation, Research & Development",Exec sponsor,Decision-maker,"Position around co-selling, referrals, and where YardFlow helps shared customers.",Named speaker route,Official company page,High,https://www.kencogroup.com/news/kristi-montgomery-vp-strategic-transformation/,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Kenco%20Logistics%20Services,Jake / Casey,Open,
Kenco Logistics Services,P2,David Caines,President & CEO,Exec sponsor,Decision-maker,"Position around co-selling, referrals, and where YardFlow helps shared customers.",Executive path,Official company page,Medium,https://www.kencogroup.com/leadership-team/,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Kenco%20Logistics%20Services,Jake / Casey,Open,
Kenco Logistics Services,P2,Denis Reilly,Chief Commercial Officer,Exec / budget,Routing contact,"Position around co-selling, referrals, and where YardFlow helps shared customers.",Commercial path,Official company page,Medium,https://www.kencogroup.com/leadership-team/,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Kenco%20Logistics%20Services,Jake / Casey,Open,
Barnes & Noble,P1,Annette Danek-Akey,Chief Supply Chain Officer,Exec sponsor,Decision-maker,Use retail replenishment and DC throughput as the hook.,Named speaker route,Official MODEX speaker signal,High,https://mx2026.mapyourshow.com/8_0/sessions/session-details.cfm?scheduleid=218,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Barnes%20%26%20Noble,Jake / Casey,Open,
Barnes & Noble,P2,Lance Dippold,VP Supply Chain / distribution leader,Exec / budget,Operator buyer,Use retail replenishment and DC throughput as the hook.,Supply chain route,Public profile,Low,https://www.linkedin.com,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Barnes%20%26%20Noble,Jake / Casey,Open,
Barnes & Noble,P2,Keith Faltejsek,Network / logistics leader,Operator,Routing contact,Use retail replenishment and DC throughput as the hook.,Public profile route,Public profile,Low,https://www.linkedin.com,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Barnes%20%26%20Noble,Jake / Casey,Open,
FedEx,P1,Brie Carere,Chief Customer Officer / EVP,Exec sponsor,Decision-maker,Treat as strategic / opportunistic conversation.,Executive network path,Official company page,Medium,https://www.fedex.com/en-us/about/leadership.html,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=FedEx,Jake / Casey,Open,
FedEx,P2,Richard Smith,"Chief Operating Officer, Airline and International",Exec sponsor,Operator buyer,Treat as strategic / opportunistic conversation.,Ops leadership path,Official company page,Medium,https://www.fedex.com/en-us/about/leadership.html,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=FedEx,Jake / Casey,Open,
FedEx,P2,Moe Wasiuddin,VP network planning / hub ops leader,Operator,Routing contact,Treat as strategic / opportunistic conversation.,Public profile route,Public profile,Low,https://www.linkedin.com,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=FedEx,Jake / Casey,Open,
Dawn Foods,P1,John Schmitz,"Chief Operating Officer, Americas",Exec sponsor,Decision-maker,"Show how Primo used site standardization to improve throughput without adding yard labor, then frame Dawn as a bakery-network version of the same variance tax problem.",COO route,Official Dawn press release,High,https://www.dawnfoods.com/about-us/news-press/detail/2024/26/9/dawn-foods-appoints-john-schmitz-as-new-chief-operating-officer-americas,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Dawn%20Foods,Jake / Casey,Open,
Dawn Foods,P1,Ahmet Hepdogan,"SVP Supply Chain & Procurement, North America",Exec / budget,Decision-maker,"Show how Primo used site standardization to improve throughput without adding yard labor, then frame Dawn as a bakery-network version of the same variance tax problem.",Supply chain route,Official Dawn press release,High,https://www.dawnfoods.com/about-us/news-press/detail/2024/24/10/dawn-foods-promotes-ahmet-hepdogan-to-senior-vice-president-supply-chain-procurement-for-north-america,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Dawn%20Foods,Jake / Casey,Open,
Dawn Foods,P2,Kristi Kangas,SVP North America Manufacturing Operations,Operator,Operator buyer,"Show how Primo used site standardization to improve throughput without adding yard labor, then frame Dawn as a bakery-network version of the same variance tax problem.",Manufacturing route,Official Dawn press release,High,https://www.dawnfoods.com/about-us/news-press/detail/2025/12/05/dawn-foods-names-kristi-kangas-as-senior-vice-president-of-north-america-manufacturing-operations,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Dawn%20Foods,Jake / Casey,Open,
Del Monte Foods,P1,Daniela Vonghia,Chief Supply Chain Officer,Exec sponsor,Decision-maker,"Lead with throughput + standardization across plants and DCs, then pivot to customer service impact and network resiliency.",CSCO route,Official company page,High,https://www.delmontefoods.com/our-story/leadership-team,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Del%20Monte%20Foods,Jake / Casey,Open,
Del Monte Foods,P2,Sarah Conroy,"Director, Customer Supply Chain Solutions",Operator,Operator buyer,"Lead with throughput + standardization across plants and DCs, then pivot to customer service impact and network resiliency.",Customer supply chain route,Public profile,Medium,https://www.linkedin.com/in/sarah-conroy-kunkle,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Del%20Monte%20Foods,Jake / Casey,Open,
Del Monte Foods,P2,Michael Popejoy,"Senior Director, Supply Planning",Operator,Influencer,"Lead with throughput + standardization across plants and DCs, then pivot to customer service impact and network resiliency.",Supply planning route,Public profile,Medium,https://www.linkedin.com/in/michael-popejoy-23771a19,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Del%20Monte%20Foods,Jake / Casey,Open,
Dollar General,P1,Rod West,"EVP, Global Supply Chain",Exec sponsor,Decision-maker,Frame the conversation around reducing execution variance across distribution nodes and tightening the handoff between transportation and facility operations.,Global supply chain route,Public profile,Medium,https://www.linkedin.com/in/rod-west-1157bb4,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Dollar%20General,Jake / Casey,Open,
Dollar General,P1,Rebecca Powers,VP Distribution Centers,Exec / budget,Operator buyer,Frame the conversation around reducing execution variance across distribution nodes and tightening the handoff between transportation and facility operations.,Distribution route,Official DG newsroom,High,https://newscenter.dollargeneral.com/news/two-dollar-general-leaders-receive-chain-store-ages-2024-retails-top-women-award/0aec6725-cea5-4c94-9e14-db97dd672292,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Dollar%20General,Jake / Casey,Open,
Dollar General,P2,Mark Taylor,VP Transportation - Outbound,Operator,Operator buyer,Frame the conversation around reducing execution variance across distribution nodes and tightening the handoff between transportation and facility operations.,Transportation route,Public profile,Medium,https://www.linkedin.com/in/mark-taylor-dg89,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Dollar%20General,Jake / Casey,Open,
Dollar Tree,P1,Roxanne Weng,Chief Supply Chain Officer,Exec sponsor,Decision-maker,Use the new-DC/rebuild context to talk about standardizing flow before local habits calcify into permanent variance.,CSCO route,Official company page,High,https://corporate.dollartree.com/news-media/press-releases/detail/283/dollar-tree-announces-chief-supply-chain-officer-transition,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Dollar%20Tree,Jake / Casey,Open,
Dollar Tree,P2,Cori Purrington,VP Transportation,Operator,Operator buyer,Use the new-DC/rebuild context to talk about standardizing flow before local habits calcify into permanent variance.,Transportation route,Public profile,Medium,https://www.linkedin.com/in/cori-purrington-b4303979,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Dollar%20Tree,Jake / Casey,Open,
Dollar Tree,P2,Adam Janatsch,VP Distribution Operations,Operator,Operator buyer,Use the new-DC/rebuild context to talk about standardizing flow before local habits calcify into permanent variance.,Distribution route,Public profile,Medium,https://www.linkedin.com/in/adam-janatsch-5853651b,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Dollar%20Tree,Jake / Casey,Open,
IKEA,P1,Rob Olson,"Chief Operating Officer, IKEA U.S.",Exec sponsor,Decision-maker,Position YardFlow as a way to eliminate local execution variance at physical fulfillment sites rather than as a traditional yard-management replacement.,U.S. ops route,Official IKEA U.S. annual summary,High,https://www.ikea.com/us/en/files/pdf/6c/17/6c17e4d6/us_annual_summary_fy24.pdf,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=IKEA,Jake / Casey,Open,
IKEA,P2,Pam Andrews,Vice President of Logistics,Operator,Operator buyer,Position YardFlow as a way to eliminate local execution variance at physical fulfillment sites rather than as a traditional yard-management replacement.,Logistics route,Public profile,Medium,https://www.linkedin.com/in/pam-andrews-b0141519,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=IKEA,Jake / Casey,Open,
IKEA,P2,Paul Fournier,"IKEA Distribution Services, North America",Operator,Routing contact,Position YardFlow as a way to eliminate local execution variance at physical fulfillment sites rather than as a traditional yard-management replacement.,Distribution services route,Public profile,Medium,https://www.linkedin.com/in/paul-fournier-53a43014b,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=IKEA,Jake / Casey,Open,
