Use these account-specific QR cards to route people to the YardFlow website audit page. Cleaner than the old custom form.,,,,,,,
Account,Audit URL,QR,Open Link,Suggested Use,Proof Asset,Graphic File,Notes
Honda,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Honda,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + plant throughput frame,Honda.png,Account-specific YardFlow audit route
John Deere,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=John%20Deere,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + industrial campus frame,John_Deere.png,Account-specific YardFlow audit route
Kenco Logistics Services,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Kenco%20Logistics%20Services,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + partner narrative,Kenco_Logistics_Services.png,Account-specific YardFlow audit route
Barnes & Noble,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Barnes%20%26%20Noble,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + retail replenishment frame,Barnes_Noble.png,Account-specific YardFlow audit route
FedEx,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=FedEx,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + network-ops analogy,FedEx.png,Account-specific YardFlow audit route
Dawn Foods,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Dawn%20Foods,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + Dawn-specific one-pager,Dawn_Foods.png,Account-specific YardFlow audit route
Del Monte Foods,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Del%20Monte%20Foods,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + food-network standardization story,Del_Monte_Foods.png,Account-specific YardFlow audit route
Dollar General,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Dollar%20General,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + retail DC variance-tax framing,Dollar_General.png,Account-specific YardFlow audit route
Dollar Tree,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=Dollar%20Tree,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + DC ramp / rebuild execution frame,Dollar_Tree.png,Account-specific YardFlow audit route
IKEA,https://www.yardflow.ai/contact/?intent=audit&utm_source=modex&utm_medium=outreach&utm_campaign=modex2026&utm_content=IKEA,,Open audit page,"Use in outbound, on booth screens, and in 1:1 follow-up when the fastest next step is the website audit page.",Primo proof + fulfillment-node execution frame,IKEA.png,Account-specific YardFlow audit route
